caso,t,sigma,criterio,ciclo,r_k,r_prev,q_k
cerca del cero (+0,15),1001.4994,0.5,angular,66,0.028457,0.028389,1.002389
cerca del cero (+0,15),1001.4994,0.5,angular,67,0.028520,0.028457,1.002200
cerca del cero (+0,15),1001.4994,0.5,angular,68,0.028183,0.028520,0.988187
cerca del cero (+0,15),1001.4994,0.5,angular,69,0.028641,0.028183,1.016275
cerca del cero (+0,15),1001.4994,0.5,angular,70,0.028728,0.028641,1.003024
cerca del cero (+0,15),1001.4994,0.5,angular,71,0.028795,0.028728,1.002339
cerca del cero (+0,15),1001.4994,0.5,angular,72,0.028437,0.028795,0.987576
cerca del cero (+0,15),1001.4994,0.5,angular,73,0.028934,0.028437,1.017453
cerca del cero (+0,15),1001.4994,0.5,angular,74,0.028609,0.028934,0.988788
cerca del cero (+0,15),1001.4994,0.5,angular,75,0.029044,0.028609,1.015186
cerca del cero (+0,15),1001.4994,0.5,angular,76,0.029156,0.029044,1.003874
cerca del cero (+0,15),1001.4994,0.5,angular,77,0.028783,0.029156,0.987195
cerca del cero (+0,15),1001.4994,0.5,angular,78,0.029301,0.028783,1.017981
cerca del cero (+0,15),1001.4994,0.5,angular,79,0.028926,0.029301,0.987225
cerca del cero (+0,15),1001.4994,0.5,angular,80,0.029450,0.028926,1.018109
cerca del cero (+0,15),1001.4994,0.5,angular,81,0.029068,0.029450,0.987017
cerca del cero (+0,15),1001.4994,0.5,angular,82,0.029174,0.029068,1.003659
cerca del cero (+0,15),1001.4994,0.5,angular,83,0.029653,0.029174,1.016420
cerca del cero (+0,15),1001.4994,0.5,angular,84,0.029295,0.029653,0.987934
cerca del cero (+0,15),1001.4994,0.5,angular,85,0.029398,0.029295,1.003495
cerca del cero (+0,15),1001.4994,0.5,angular,86,0.029887,0.029398,1.016647
cerca del cero (+0,15),1001.4994,0.5,angular,87,0.029519,0.029887,0.987675
cerca del cero (+0,15),1001.4994,0.5,angular,88,0.029605,0.029519,1.002913
cerca del cero (+0,15),1001.4994,0.5,angular,89,0.029694,0.029605,1.003021
cerca del cero (+0,15),1001.4994,0.5,angular,90,0.029782,0.029694,1.002960
cerca del cero (+0,15),1001.4994,0.5,angular,91,0.030275,0.029782,1.016556
cerca del cero (+0,15),1001.4994,0.5,angular,92,0.029909,0.030275,0.987912
cerca del cero (+0,15),1001.4994,0.5,angular,93,0.029990,0.029909,1.002705
cerca del cero (+0,15),1001.4994,0.5,angular,94,0.030071,0.029990,1.002714
cerca del cero (+0,15),1001.4994,0.5,angular,95,0.030153,0.030071,1.002710
cerca del cero (+0,15),1001.4994,0.5,angular,96,0.030235,0.030153,1.002706
cerca del cero (+0,15),1001.4994,0.5,angular,97,0.030316,0.030235,1.002702
cerca del cero (+0,15),1001.4994,0.5,angular,98,0.030398,0.030316,1.002690
cerca del cero (+0,15),1001.4994,0.5,angular,99,0.030178,0.030398,0.992769
cerca del cero (+0,15),1001.4994,0.5,angular,100,0.030555,0.030178,1.012503
cerca del cero (+0,15),1001.4994,0.5,angular,101,0.030644,0.030555,1.002906
cerca del cero (+0,15),1001.4994,0.5,angular,102,0.030734,0.030644,1.002946
cerca del cero (+0,15),1001.4994,0.5,angular,103,0.030822,0.030734,1.002844
cerca del cero (+0,15),1001.4994,0.5,angular,104,0.030579,0.030822,0.992132
cerca del cero (+0,15),1001.4994,0.5,angular,105,0.030980,0.030579,1.013094
cerca del cero (+0,15),1001.4994,0.5,angular,106,0.031080,0.030980,1.003255
cerca del cero (+0,15),1001.4994,0.5,angular,107,0.030829,0.031080,0.991904
cerca del cero (+0,15),1001.4994,0.5,angular,108,0.031245,0.030829,1.013515
cerca del cero (+0,15),1001.4994,0.5,angular,109,0.031014,0.031245,0.992602
cerca del cero (+0,15),1001.4994,0.5,angular,110,0.031413,0.031014,1.012843
cerca del cero (+0,15),1001.4994,0.5,angular,111,0.031187,0.031413,0.992825
cerca del cero (+0,15),1001.4994,0.5,angular,112,0.031594,0.031187,1.013042
cerca del cero (+0,15),1001.4994,0.5,angular,113,0.031351,0.031594,0.992306
cerca del cero (+0,15),1001.4994,0.5,angular,114,0.031788,0.031351,1.013950
cerca del cero (+0,15),1001.4994,0.5,angular,115,0.031517,0.031788,0.991469
cerca del cero (+0,15),1001.4994,0.5,angular,116,0.031620,0.031517,1.003282
cerca del cero (+0,15),1001.4994,0.5,angular,117,0.032065,0.031620,1.014043
cerca del cero (+0,15),1001.4994,0.5,angular,118,0.031787,0.032065,0.991351
cerca del cero (+0,15),1001.4994,0.5,angular,119,0.031882,0.031787,1.002988
cerca del cero (+0,15),1001.4994,0.5,angular,120,0.031979,0.031882,1.003039
cerca del cero (+0,15),1001.4994,0.5,angular,121,0.032075,0.031979,1.003014
cerca del cero (+0,15),1001.4994,0.5,angular,122,0.032170,0.032075,1.002957
cerca del cero (+0,15),1001.4994,0.5,angular,123,0.032264,0.032170,1.002902
cerca del cero (+0,15),1001.4994,0.5,angular,124,0.032356,0.032264,1.002865
cerca del cero (+0,15),1001.4994,0.5,angular,125,0.032448,0.032356,1.002854
cerca del cero (+0,15),1001.4994,0.5,angular,126,0.032542,0.032448,1.002870
cerca del cero (+0,15),1001.4994,0.5,angular,127,0.032636,0.032542,1.002904
cerca del cero (+0,15),1001.4994,0.5,angular,128,0.032732,0.032636,1.002941
cerca del cero (+0,15),1001.4994,0.5,angular,129,0.032829,0.032732,1.002956
